Time (min),Inner can left (°C),Inner can right (°C),Outer can left (°C),Outer can right (°C),Air refrigerator (°C)
573,8.672368461,8.793399736,10.4444531,10.39805963,9.940691364
576,8.652968344,8.767366327,10.42357032,10.37461339,9.928063458
579,8.629078634,8.745090408,10.39927997,10.35348418,9.91497874
582,8.604828897,8.722945928,10.37670258,10.33111782,9.903044454
585,8.582258061,8.701041366,10.35363009,10.30734321,9.892580772
588,8.556363861,8.67584839,10.33288626,10.28143721,9.875034802
591,8.534041853,8.651314022,10.30932077,10.26061137,9.864535606
594,8.513778813,8.626978613,10.28536095,10.24230588,9.845389227
597,8.491099552,8.604895323,10.26203786,10.21540105,9.836711582
600,8.466612542,8.58314528,10.24052194,10.19423663,9.8163925
603,8.448193667,8.558513039,10.2209006,10.17559882,9.801655904
606,8.422691035,8.533255135,10.19439902,10.15011605,9.78572724
609,8.400997014,8.513947402,10.17364481,10.12910905,9.77100537
612,8.381026376,8.488219583,10.14990403,10.10376583,9.755461767
615,8.358160605,8.466862333,10.12930292,10.08298405,9.737701959
618,8.336315336,8.443542323,10.10815793,10.06162859,9.726179796
621,8.314253683,8.419624995,10.08664885,10.03973356,9.709554066
624,8.292212115,8.395050287,10.06371287,10.02210037,9.692975893
627,8.269584014,8.376703397,10.04296687,9.995349924,9.675252291
630,8.248936131,8.3536683,10.0191851,9.977151772,9.662181812
633,8.229585901,8.332035957,9.998031638,9.955331435,9.648580072
636,8.208767896,8.307497027,9.9782929,9.934609691,9.636076082
639,8.188820695,8.285443489,9.958337267,9.912547383,9.619668356
642,8.166675173,8.266561366,9.934493912,9.892672304,9.613418382
645,8.145731285,8.244283058,9.915152506,9.868871675,9.601628093
648,8.123659504,8.223754959,9.892332709,9.850968127,9.588536062
651,8.103386131,8.203586293,9.876368079,9.826716821,9.573343466
654,8.084454327,8.180407198,9.851842618,9.811426605,9.560062982
657,8.06773294,8.158666647,9.833007642,9.79237933,9.55231717
660,8.044116418,8.138208075,9.814320297,9.770217827,9.537319999
663,8.028642206,8.116240668,9.792708387,9.751836598,9.526207952
666,8.005810617,8.096010914,9.775410842,9.733520994,9.509824667
669,7.992214484,8.078238057,9.753135021,9.708928011,9.500681807
672,7.973348824,8.056243051,9.732427665,9.690538357,9.488297213
675,7.953294687,8.03682013,9.714083488,9.67201885,9.47982032
678,7.933565012,8.014528023,9.693781439,9.650488142,9.467243915
681,7.917372778,7.995878765,9.677510441,9.629231488,9.454660558
684,7.900812349,7.976370141,9.655010495,9.612174073,9.442483986
687,7.878312144,7.955974979,9.635059154,9.593346612,9.431732937
690,7.861938975,7.936618397,9.617026385,9.576507865,9.424725741
693,7.843867873,7.919599754,9.597331704,9.557831617,9.41100068
696,7.825154247,7.900008381,9.579521649,9.537107566,9.397299354
699,7.807686955,7.878083862,9.561695156,9.519562158,9.389901156
702,7.789043974,7.860738982,9.543359355,9.501472338,9.38151281
705,7.773953245,7.843542228,9.522008284,9.481008295,9.366059542
708,7.756965133,7.822939166,9.506028854,9.463364629,9.357825696
711,7.740206262,7.80256552,9.487891314,9.446005001,9.348401024
714,7.724087512,7.784725026,9.470041586,9.429595084,9.330271486
717,7.707362955,7.767789702,9.453240797,9.410933633,9.320703528
